"ID";"TOMA";"SEXO";"EDADJUBILACION";"EDAD";"ECIVIL";"TIEMPOVIUDA";"EDADCONY";"ANIMO";"OCUPACION";"ULTIMAOCUPACION";"HACECUANTO";"CAMBIOJUBIL";"COMOCAMBIO";"NIVELESTUDIOS";"VECESMEDICO";"SALUDSUBJ";"SALUDSATIS";"VIDASTIS";"HACIENDOMAYOR";"CONQUIENVIVE";"MIEMBROSHOGAR";"VECES1";"VECES2";"VECES3";"VECES4";"VECES5";"VECES6";"VECES7";"VECES8";"VECES9";"VECES10";"VECES11";"VECES12";"VECES13";"LLEVA1";"LLEVA2";"LLEVA3";"LLEVA4";"LLEVA5";"LLEVA6";"LLEVA7";"LLEVA8";"LLEVA9";"LLEVA10";"LLEVA11";"LLEVA12";"CURSO1";"PROFE1";"CURSO2";"PROFE2";"CURSO3";"PROFE3";"CURSO4";"PROFE4";"MOTIVO1";"MOTIVO2";"MOTIVO3";"MOTIVO4";"MOTIVO5";"MOTIVO6";"MOTIVO7";"MOTIVO8";"MOTIVO9";"MOTIVO10";"MOTIVO11";"MOTIVO12";"MOTIVO13";"MOTIVO14";"MOTIVO15";"MOTIVO16";"MOTIVO17";"MOTIVO18";"MOTIVO19";"CURSOANT1";"PROFEANT1";"CURSOANT2";"PROFEANT2";"CURSOANT3";"PROFEANT3";"AÑOS";"LOGROS1";"LOGROS2";"LOGROS3";"LOGROS4";"LOGROS5";"LOGROS6";"LOGROS7";"LOGROS8";"LOGROS9";"LOGROS10";"LOGROS11";"LOGROS12";"LOGROS13";"LOGROS14";"LOGROS15";"LOGROS16"
11;13;2;52;NA;2;NA;73;6;"                                                ";"DOCENTE                                         ";16;1;3;6;1;3;3;9;6;2;2;7;2;5;6;3;1;1;1;NA;NA;6;4;NA;4;4;4;4;4;4;4;NA;NA;4;4;NA;"CELULAR NIVEL INTERMEDIO                        ";"CELESTE VILLANUEVA                              ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;4;NA;NA;4;4;4;4;NA;4;4;NA;NA;NA;NA;4;NA;4;"COMPUTACION                                     ";"RODRIGO                                         ";"                                                ";"                                                ";"                                                ";"                                                ";12;3;NA;3;NA;3;3;4;4;NA;NA;NA;NA;4;NA;4;4
12;13;1;65;76;2;NA;75;6;"JUBILADO                                        ";"INGENIERO                                       ";11;1;3;6;1;3;2;9;6;2;NA;7;NA;3;NA;2;2;NA;NA;NA;NA;5;5;NA;5;0;5;0;5;0;5;NA;3;5;5;5;"                                                ";"JORGE PASCUAL                                   ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";3;4;2;1;1;3;3;NA;4;4;4;4;3;3;4;1;1;1;4;"FILOSOFIA                                       ";"JORGE PASCUAL                                   ";"                                                ";"                                                ";"                                                ";"                                                ";10;4;3;3;3;3;3;3;4;3;2;3;3;3;3;3;4
13;13;2;60;70;6;25;NA;6;"JUBILADA                                        ";"COMERCIANTE                                     ";10;1;3;4;NA;3;3;9;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;3;NA;NA;5;4;NA;"RITMOS CARIBENOS                                ";"IVANA BRUSA                                     ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;NA;3;1;1;4;4;4;4;NA;4;4;4;4;4;4;4;1;4;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;13;2;65;66;5;NA;NA;8;"JUBILADA                                        ";"PROFESORA DE GEOGRAFIA                          ";1;0;NA;6;0;3;3;9;9;1;NA;0;0;7;7;4;4;4;0;0;NA;NA;NA;NA;0;0;5;5;4;5;0;0;0;5;3;0;"INGLES PARA PRINCIPIANTES                       ";"GRACIELA HUERGA                                 ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";3;3;1;1;1;3;3;4;3;1;4;4;4;3;4;1;4;1;1;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;13;1;60;68;6;5;NA;8;"                                                ";"COSMETOLOGA                                     ";8;1;4;2;NA;3;2;9;9;1;NA;NA;NA;NA;5;5;NA;5;7;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;5;NA;4;5;5;4;"LA LENGUA ITALIANA COMO HERENCIA                ";"ROMINA DALLA FENICO                             ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;4;NA;NA;NA;NA;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;13;2;60;64;5;NA;NA;6;"JUBILADA                                        ";"EMPLEADA MUNICIPAL                              ";4;1;2;4;NA;3;3;9;9;3;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;5;7;NA;NA;NA;3;5;NA;NA;NA;NA;5;5;4;NA;"PNL                                             ";"CORA GOTUSSO                                    ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;NA;NA;NA;NA;NA;NA;NA;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;13;1;60;83;2;NA;70;8;"JUBILADA                                        ";"MEDICO LABORAL                                  ";23;1;4;6;0;3;2;9;9;2;2;7;NA;NA;1;1;NA;1;NA;NA;NA;NA;NA;NA;5;NA;NA;5;NA;5;NA;NA;5;5;5;NA;"ENTRENAMIENTO INTELECTUAL Y COGNITIVO           ";"GASTON DE ESPANES                               ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;3;3;1;NA;1;1;NA;4;1;NA;4;1;1;4;3;4;NA;3;"MUSICA DE AQUI Y ALLA                           ";"GAIATZI                                         ";"                                                ";"                                                ";"                                                ";"                                                ";3;3;3;3;NA;4;1;4;4;4;1;4;NA;4;4;4;4
18;13;2;56;81;2;NA;80;4;"JUBILADA                                        ";"DOCENTE                                         ";25;1;0;6;0;2;2;3;6;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;4;NA;NA;NA;NA;NA;3;NA;3;NA;3;3;"                                                ";"MANUEL PASCUAL                                  ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;4;4;NA;4;NA;NA;NA;NA;3;3;NA;NA;NA;NA;"                                                ";"MANUEL PASCUAL                                  ";"                                                ";"                                                ";"                                                ";"                                                ";10;NA;NA;NA;NA;NA;4;4;NA;NA;NA;NA;3;NA;NA;3;NA
19;13;2;68;76;2;NA;82;8;"AMA DE CASA                                     ";"COMERCIANTE                                     ";8;1;0;4;NA;2;3;9;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;4;4;3;NA;4;5;5;4;"JUGAR ACTIVAMENTE                               ";"PAULA CORCOBA                                   ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;NA;NA;NA;4;4;4;4;NA;NA;NA;NA;4;NA;NA;4;NA;NA;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;13;2;63;68;2;NA;72;4;"JUBILADA                                        ";"EMPLEADA ADMINISTRATIVA                         ";5;0;NA;6;10;2;2;9;6;2;2;7;NA;2;NA;2;2;NA;NA;NA;NA;2;5;5;3;NA;4;NA;4;NA;NA;NA;4;3;3;4;"PNL                                             ";"CORA GOTUSO                                     ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;4;2;2;4;4;3;3;1;3;3;1;3;3;2;4;1;4;"HISTORIA DEL PENSAMIENTO POLITICO               ";"MANUEL PASCUAL                                  ";"                                                ";"                                                ";"                                                ";"                                                ";2;3;3;2;2;3;4;4;4;3;1;2;2;3;2;3;3
21;13;2;55;80;6;29;NA;6;"JUBILADA                                        ";"ADMINISTRATIVA                                  ";25;1;3;4;NA;2;2;9;NA;1;NA;0;0;0;7;7;0;7;0;0;0;0;3;7;0;0;0;5;0;5;0;0;0;5;3;3;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;2;1;1;4;1;4;2;1;4;3;1;2;2;2;4;1;1;"JUGAR ACTIVAMENTE                               ";"GASTON                                          ";"PNL                                             ";"CORA GOTUSSO                                    ";"                                                ";"                                                ";15;4;4;4;NA;3;4;4;3;3;4;4;4;3;2;3;3
22;13;2;52;58;5;NA;NA;6;"JUBILADA                                        ";"EMPLEADA BANCARIA                               ";6;1;3;4;2;3;3;9;9;1;NA;NA;2;5;5;5;5;5;NA;NA;NA;4;4;NA;NA;4;5;5;5;5;NA;NA;4;4;4;NA;"RITMOS                                          ";"IVANA BRUSA                                     ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;3;1;1;2;3;4;4;3;4;4;NA;3;2;1;4;1;4;"RITMOS                                          ";"IVANA BRUSA                                     ";"                                                ";"                                                ";"                                                ";"                                                ";4;3;3;3;3;4;4;4;4;3;3;3;3;4;3;3;3
23;13;2;62;67;2;NA;67;6;"JUBILADA                                        ";"COORDINADORA REFUGIO NOCTURNO                   ";5;1;2;6;2;2;2;9;6;2;2;7;2;1;3;4;2;2;0;NA;0;4;NA;NA;5;4;4;5;4;4;4;0;4;5;4;4;"RESOLVER CONFLICTOS                             ";"CARLA ARONICA                                   ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";3;4;2;1;1;1;1;NA;4;1;1;3;2;1;1;1;3;1;1;"COMPUTACION                                     ";"                                                ";"PNL                                             ";"                                                ";"ENTRENAMIENTO COGNITIVO                         ";"                                                ";6;3;3;3;3;1;4;4;3;2;1;1;1;3;1;3;3
24;13;2;55;66;2;NA;68;6;"JUBILADA                                        ";"BANCARIA                                        ";11;1;4;6;2;2;3;9;6;2;2;7;3;2;3;7;2;2;NA;NA;NA;NA;NA;NA;2;3;4;4;4;4;NA;NA;NA;4;4;NA;"LO QUE NOS OCULTA CLIO                          ";"MANUEL PASCUAL                                  ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;NA;NA;NA;4;NA;NA;NA;NA;4;4;NA;4;NA;NA;NA;NA;NA;"VAMOS                                           ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";12;4;NA;4;NA;NA;4;4;4;NA;NA;NA;NA;4;NA;4;4
25;13;2;57;57;2;NA;55;4;"JUBILADA                                        ";"TECNICA RADIOLOGA                               ";0;1;2;6;NA;2;2;6;9;5;NA;7;2;7;7;NA;NA;NA;NA;4;3;NA;2;3;3;4;4;4;NA;NA;4;4;4;4;3;4;"PINTURA                                         ";"LUIS ALLE                                       ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";3;4;4;3;3;3;NA;4;3;3;3;3;4;3;NA;NA;4;NA;3;"PNL                                             ";"CORA GOTUSSO                                    ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;NA;3;3;3;3;4;3;3;1;NA;NA;3;3;3;NA
26;13;2;70;76;5;NA;NA;8;"JUBILADA                                        ";"JUEZ FEDERAL DE CAMARA                          ";6;1;4;6;2;4;4;9;9;1;1;NA;NA;2;NA;2;2;NA;NA;NA;NA;2;NA;NA;NA;4;4;NA;4;NA;4;NA;NA;5;4;3;"TALLER LITERARIO                                ";"JAVIER QUINTA                                   ";"PNL                                             ";"CORA GOTUSSO                                    ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;NA;NA;NA;4;NA;NA;NA;4;NA;4;4;NA;NA;NA;NA;NA;NA;"CINE                                            ";"QUIQUE GONZALEZ                                 ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;NA;NA;NA;4;4;NA;4;NA;NA;NA;NA;4;NA;NA;4
27;13;2;60;73;1;NA;NA;6;"JUBILADA                                        ";"EMPLEADA BANCARIA                               ";13;0;NA;6;NA;3;3;9;9;7;2;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"PALABRAS Y GESTOS DE AMOR                       ";"ANDRES URRUTIA                                  ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;NA;NA;NA;NA;NA;4;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;"ENTRENAMIENTO COGNITIVO                         ";"GASTON ESPANES                                  ";"PNL                                             ";"CORA GOTUSSO                                    ";"MITOS                                           ";"                                                ";8;3;3;3;3;3;3;3;3;3;NA;3;NA;3;NA;3;3
28;13;2;57;60;1;NA;NA;8;"JUBILADA                                        ";"MEDICA                                          ";3;1;4;6;2;3;3;6;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;0;0;0;0;0;0;0;0;0;4;3;4;"SAFARI FOTOGRAFICO CREATIVO                     ";"GUADALUPE ALLER                                 ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;4;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;"SAFARI FOTOGRAFICO Y CREATIVO                   ";"GABRIELA ALLER                                  ";"                                                ";"                                                ";"                                                ";"                                                ";2;4;NA;NA;NA;NA;4;4;NA;NA;NA;4;NA;4;NA;NA;3
29;13;2;59;69;6;17;NA;NA;"JUBILADA                                        ";"DOCENTE                                         ";10;1;3;5;2;3;4;9;6;1;NA;NA;7;NA;6;6;NA;4;2;NA;NA;1;3;NA;NA;4;NA;5;NA;5;3;NA;NA;4;4;NA;"WORKSHOP                                        ";"IRENE KUFNER                                    ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;3;2;2;3;3;4;4;4;4;4;2;3;3;2;3;NA;4;"INGLES                                          ";"JANE                                            ";"                                                ";"                                                ";"                                                ";"                                                ";9;3;4;3;3;4;3;4;4;3;2;3;4;4;4;4;4
30;13;2;48;61;5;NA;61;6;"JUBILADA                                        ";"DOCENTE ESPECIAL                                ";13;1;3;6;3;2;2;6;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;5;NA;5;4;NA;NA;NA;5;5;NA;"FRANCES II                                      ";"GABRIELA CHAVEZ                                 ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;NA;NA;NA;NA;NA;4;NA;4;4;4;NA;NA;NA;NA;4;NA;4;"FRANCES                                         ";"PIA DE DALTON                                   ";"                                                ";"                                                ";"                                                ";"                                                ";5;4;NA;NA;NA;4;4;4;4;NA;NA;4;4;4;4;4;4
31;13;2;52;64;2;NA;66;2;"JUBILADA                                        ";"PSICOLOGA                                       ";12;1;2;6;1;2;2;6;6;2;2;57;4;3;5;5;3;3;0;NA;NA;4;3;3;4;4;4;4;4;4;3;NA;3;4;3;3;"FRANCES II                                      ";"GABRIELA CHAVEZ                                 ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;4;NA;NA;4;NA;4;4;NA;4;4;NA;NA;NA;NA;4;NA;NA;"PNL                                             ";"CORA GOTUSSO                                    ";"                                                ";"                                                ";"                                                ";"                                                ";NA;3;3;2;3;3;3;4;4;3;1;2;3;4;3;3;3
32;13;2;62;69;6;13;NA;NA;"PROFESORA DE ADULTOS MAYORES                    ";"PSICOLOGA                                       ";7;1;2;6;0;2;2;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;2;4;NA;4;NA;4;4;4;4;"UNA DE CAL UNA DE ARENA                         ";"ANDRES URRUTIA                                  ";"CREER O REVENTAR                                ";"EMANUEL PASCUAL                                 ";"                                                ";"                                                ";"                                                ";"                                                ";1;3;1;1;1;1;1;4;4;4;4;4;1;4;4;1;2;1;2;"ENTRE ABUELOS Y NIETOS                          ";"GASTON ESPANES                                  ";"LA SABIDURIA A TRAVES                           ";"ANDRES URRUTIA                                  ";"EL CURSO DE LA VIDA                             ";"ANDRES URRUTIA                                  ";2;4;3;4;2;2;3;4;3;4;4;4;1;4;2;4;4
33;13;2;55;NA;2;NA;71;2;"JUBILADA                                        ";"DIRECTORA DE ESCUELA                            ";11;1;2;6;1;3;2;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;4;4;4;4;4;0;4;4;4;4;"PNL                                             ";"GOTUSO                                          ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";2;3;1;2;1;2;2;4;3;1;4;4;2;1;4;1;3;1;3;"MEMORIA                                         ";"GASTON ESPANES                                  ";"TABLET                                          ";"PATRICIA VIEL                                   ";"                                                ";"                                                ";2;3;2;2;2;3;2;3;3;2;1;1;1;3;2;2;3
34;13;2;65;71;6;4;NA;6;"CERAMISTA                                       ";"DOCENTE PRIVADA                                 ";6;1;3;5;NA;1;2;6;6;1;0;NA;0;0;6;7;NA;3;NA;NA;NA;7;7;7;0;NA;NA;5;NA;5;NA;0;4;5;4;4;"TALLER DE ESCRITURA Y LECTURA CREATIVA          ";"JAVIER QUINTA                                   ";"CELULAR                                         ";"RAMIRO ORTIZ                                    ";"                                                ";"                                                ";"                                                ";"                                                ";3;4;3;1;NA;4;4;4;4;2;4;4;4;3;3;1;4;NA;3;"TALLER DE ESCRITURA                             ";"                                                ";"TALLER DE ESCRITURA                             ";"JAVIER QUINTA                                   ";"LA MAGIA DEL CUENTO                             ";"                                                ";12;3;4;2;3;3;4;4;4;2;2;3;3;3;3;3;4
35;13;2;60;NA;2;NA;71;4;"JUBILADA                                        ";"DOCENTE NIVEL INICIAL                           ";11;1;0;4;3;2;2;3;6;2;2;7;3;5;6;7;6;2;NA;NA;NA;2;3;NA;1;3;3;3;3;NA;NA;NA;NA;3;3;NA;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";3;4;3;4;3;4;1;4;4;1;4;4;NA;4;2;1;4;NA;4;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
