"X";"ID";"DNI";"SEXO";"EDADJUBILACION";"GRUPOTOMA";"TOMA";"NRO";"EDAD";"ECIVIL";"TIEMPOVIUDA";"EDADCONY";"ANIMO";"OCUPACION";"ULTIMAOCUPACION";"HACECUANTO";"CAMBIOJUBIL";"COMOCAMBIO";"NIVELESTUDIOS";"VECESMEDICO";"SALUDSUBJ";"SALUDSATIS";"VIDASTIS";"HACIENDOMAYOR";"CONQUIENVIVE";"MIEMBROSHOGAR";"VECES1";"VECES2";"VECES3";"VECES4";"VECES5";"VECES6";"VECES7";"VECES8";"VECES9";"VECES10";"VECES11";"VECES12";"VECES13";"LLEVA1";"LLEVA2";"LLEVA3";"LLEVA4";"LLEVA5";"LLEVA6";"LLEVA7";"LLEVA8";"LLEVA9";"LLEVA10";"LLEVA11";"LLEVA12";"MOTIVO1";"MOTIVO2";"MOTIVO3";"MOTIVO4";"MOTIVO5";"MOTIVO6";"MOTIVO7";"MOTIVO8";"MOTIVO9";"MOTIVO10";"MOTIVO11";"MOTIVO12";"MOTIVO13";"MOTIVO14";"MOTIVO15";"MOTIVO16";"MOTIVO17";"MOTIVO18";"MOTIVO19";"AÑOS";"LOGROS1";"LOGROS2";"LOGROS3";"LOGROS4";"LOGROS5";"LOGROS6";"LOGROS7";"LOGROS8";"LOGROS9";"LOGROS10";"LOGROS11";"LOGROS12";"LOGROS13";"LOGROS14";"LOGROS15";"LOGROS16"
2039;1708;188;2;50;"A";1;134;70;6;6;NA;6;"AMA DE CASA                                     ";"SECRETARIA                                      ";2;1;2;6;1;2;1;6;6;7;NA;NA;3;7;7;6;6;4;2;NA;5;4;2;7;NA;5;5;5;5;5;4;NA;5;5;5;4;4;4;2;2;2;4;4;3;3;1;4;2;NA;4;4;1;4;1;2;12;4;3;4;3;3;2;4;NA;3;2;4;3;4;3;3;3
107;107;625;2;66;"E";13;6020;66;2;NA;66;6;"                                                ";"ADMINISTRATIVA                                  ";NA;1;2;5;0;3;3;9;9;2;2;7;NA;3;1;2;1;NA;NA;NA;NA;1;3;NA;4;3;4;4;4;NA;4;NA;4;4;4;3;3;4;2;2;2;3;4;4;2;1;3;4;2;2;3;1;4;1;3;3;3;3;NA;3;4;4;4;3;2;3;NA;NA;NA;3;3;3
1196;1052;15;1;65;"A";2;785;84;2;NA;79;8;"JUBILADO                                        ";"FARMACIA                                        ";20;0;NA;4;2;4;4;9;6;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;5;NA;NA;NA;NA;NA;5;5;5;4;4;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1720;1464;134;2;64;"A";2;741;64;6;NA;NA;2;"COMERCIANTE                                     ";"COMERCIANTE                                     ";3;0;NA;4;NA;2;2;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;4;NA;NA;NA;NA;4;4;4;NA;4;1;1;4;4;NA;4;4;1;4;4;NA;4;4;3;4;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2136;1786;989;2;51;"B";5;50054;59;2;NA;57;6;"ADMNISTRATIVA                                   ";"DOCENTE                                         ";8;1;3;6;NA;3;4;9;9;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;4;NA;4;NA;4;NA;4;4;4;NA;NA;4;NA;NA;NA;4;4;4;4;NA;4;4;NA;NA;4;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
112;112;188;2;74;"E";13;6005;74;6;NA;NA;4;"JUBILADA                                        ";"EMPRESARIA                                      ";NA;0;1;4;2;3;3;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;NA;5;NA;5;5;5;NA;4;4;NA;NA;NA;4;4;4;4;NA;4;4;NA;NA;NA;NA;4;NA;NA;3;3;NA;NA;NA;3;4;4;4;NA;NA;NA;4;4;NA;4;4
1507;1296;987;2;53;"A";1;227;62;2;NA;61;6;"JUBILADO                                        ";"RADIOLOGA                                       ";9;1;2;6;NA;3;2;6;9;2;2;7;0;0;0;0;0;0;3;0;4;7;5;0;5;1;0;0;0;0;4;0;4;5;4;3;3;4;3;2;3;3;3;4;3;1;3;4;3;3;4;2;3;1;3;8;3;3;3;3;4;3;3;4;3;2;2;4;3;3;3;3
100;100;271;2;57;"E";13;6036;70;2;NA;83;6;"JUBILADA                                        ";"DOCENTE                                         ";14;1;4;6;2;3;2;9;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;NA;5;NA;5;4;NA;5;5;5;4;2;4;2;1;1;4;4;4;4;1;4;4;4;3;4;2;3;NA;4;3;4;3;3;2;3;4;4;4;4;4;4;4;4;4;4;4
2050;1717;458;2;53;"B";5;50221;74;6;1;NA;6;"AMA DE CASA                                     ";"DOCENTE                                         ";NA;1;4;5;NA;4;4;9;9;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;4;4;4;4;NA;4;4;4;4;2;3;NA;4;4;4;4
1931;1633;994;2;55;"A";1;370;NA;2;NA;43;6;"JUBILADA                                        ";"                                                ";NA;1;3;5;NA;3;4;9;9;2;NA;7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
880;791;489;1;65;"B";4;67;76;6;5;NA;8;"JUBILADO                                        ";"INDUSTRIA                                       ";11;1;1;5;NA;2;2;3;6;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;4;4;4;4;4;NA;NA;NA;NA;NA;NA;4;4;NA;4;NA;4;NA;4;4;4;4;4;NA;NA;NA;NA;4;4;4;9;3;3;3;9;4;3;3;3;2;1;1;3;3;3;3;3
523;480;542;2;60;"D";11;418;60;2;NA;63;4;"JUBILADA                                        ";"FISIOTER                                        ";NA;0;2;6;2;1;2;6;6;5;4;7;0;NA;7;0;NA;NA;2;NA;0;2;5;1;5;3;NA;4;NA;NA;3;NA;NA;5;4;4;3;4;2;1;NA;4;4;4;3;1;4;4;2;3;3;2;4;1;3;5;3;3;2;3;2;3;4;3;3;1;3;2;3;2;2;4
1190;1047;652;2;60;"A";2;701;NA;6;10;NA;6;"AMA DE CASA                                     ";"LIMPIEZA                                        ";6;0;NA;2;1;3;4;9;9;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;5;5;4;4;4;4;5;5;5;4;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1837;1558;89;1;74;"B";4;98;NA;6;NA;60;6;"JUBILADO                                        ";"MEDICO                                          ";9;1;3;6;1;3;2;6;6;2;2;NA;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;4;4;4;4;4;NA;NA;NA;4;4;NA;3;3;1;1;1;1;1;4;3;1;3;3;2;3;3;2;2;1;3;6;3;3;3;NA;3;3;3;3;3;1;1;NA;3;3;3;4
1345;1170;223;2;60;"A";1;256;71;6;NA;NA;6;"JUBILADA                                        ";"DOCENTE                                         ";11;1;3;6;NA;3;2;6;6;1;NA;NA;2;NA;4;3;NA;3;2;7;NA;1;NA;NA;0;4;0;5;0;4;NA;5;4;4;0;0;3;4;3;1;1;1;3;4;3;3;3;3;9;3;3;9;3;1;2;9;3;3;2;3;4;3;3;3;3;NA;3;NA;3;2;2;3
1502;1292;270;2;40;"A";1;4;NA;5;NA;NA;6;"AMA DE CASA                                     ";"DOCENTE                                         ";18;1;3;6;NA;2;2;9;9;3;2;NA;2;8;2;1;NA;NA;3;NA;5;1;2;2;0;4;4;4;NA;NA;NA;NA;4;5;4;9;4;4;4;1;1;4;4;4;4;4;4;4;4;4;4;1;3;1;4;3;4;4;4;3;4;3;4;4;2;3;4;4;4;4;4;NA
2;2;918;2;52;"E";13;7296;78;2;NA;79;4;"                                                ";"DOCENTE                                         ";25;0;NA;6;NA;2;2;6;6;2;2;7;NA;NA;2;2;NA;NA;NA;NA;NA;3;7;NA;4;5;5;5;NA;NA;NA;NA;3;4;NA;2;NA;4;NA;NA;NA;4;NA;4;NA;NA;4;NA;NA;NA;NA;NA;4;NA;NA;5;NA;NA;3;NA;NA;4;4;3;NA;NA;NA;NA;3;NA;3;4
738;668;861;1;63;"B";4;367;70;4;NA;NA;6;"COMERCIO                                        ";"INGENIERO                                       ";7;1;2;6;2;2;2;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;4;3;5;5;NA;0;NA;5;4;4;3;4;3;2;2;3;2;4;4;3;4;3;1;1;2;1;3;1;2;5;3;3;3;3;3;4;4;4;4;2;2;4;4;3;3;3
1192;1049;819;2;50;"A";1;237;NA;6;20;NA;6;"                                                ";"                                                ";9;1;3;6;NA;3;2;6;9;7;2;NA;5;NA;NA;NA;NA;NA;0;NA;NA;2;2;NA;NA;4;NA;NA;NA;NA;3;NA;4;4;4;4;3;4;2;3;3;3;2;3;4;4;4;4;NA;3;4;4;3;NA;NA;10;4;3;3;3;3;3;3;4;3;3;3;3;3;3;3;4
1387;1200;801;2;65;"A";1;62;81;6;10;NA;8;"                                                ";"CONTADORA                                       ";16;0;3;6;0;3;4;6;6;1;1;NA;NA;1;1;3;1;NA;NA;NA;NA;4;NA;NA;NA;NA;4;4;4;4;NA;NA;NA;4;4;NA;3;4;1;1;NA;3;3;4;NA;NA;3;3;NA;NA;NA;NA;3;1;1;3;3;3;3;3;3;3;3;3;4;4;3;3;3;4;4;3
2184;1828;305;1;66;"D";10;142;72;2;NA;70;6;"JUBILADO                                        ";"VISITADOR MEDICO                                ";7;1;3;4;1;3;3;9;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;4;4;4;0;0;3;4;3;3;3;3;3;1;2;3;3;3;3;2;3;3;3;3;3;1;3;1;3;5;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3
1933;1635;15;2;67;"A";1;510;78;2;NA;78;4;"JUBILADA                                        ";"ODONTOLOGO                                      ";15;1;2;6;NA;3;3;6;6;1;2;7;2;2;3;5;1;1;1;NA;NA;NA;NA;NA;3;4;5;5;5;5;3;NA;NA;3;0;3;4;4;NA;NA;NA;NA;NA;3;3;NA;NA;3;3;3;3;NA;NA;NA;3;8;3;NA;NA;NA;NA;3;3;3;NA;NA;3;NA;NA;NA;3;3
17;17;143;1;60;"E";13;7260;83;2;NA;70;8;"JUBILADA                                        ";"MEDICO LABORAL                                  ";23;1;4;6;0;3;2;9;9;2;2;7;NA;NA;1;1;NA;1;NA;NA;NA;NA;NA;NA;5;NA;NA;5;NA;5;NA;NA;5;5;5;NA;4;3;3;1;NA;1;1;NA;4;1;NA;4;1;1;4;3;4;NA;3;3;3;3;3;NA;4;1;4;4;4;1;4;NA;4;4;4;4
647;585;43;2;60;"A";2;848;70;1;NA;NA;4;"AMA DE CASA                                     ";"COMERCIANTE                                     ";10;1;2;3;NA;1;2;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;3;NA;5;4;3;NA;4;4;3;4;4;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;3;NA;2;NA;3;NA;4;3;NA;NA;NA;NA;NA;NA;NA;NA
1278;1115;457;2;60;"D";10;22;72;1;NA;NA;8;"                                                ";"EMPLEADA                                        ";11;1;4;2;3;4;3;NA;9;3;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;4;4;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1334;1159;717;1;67;"B";4;618;73;3;NA;67;4;"JUBILADO                                        ";"AGENTE DE PROPAG                                ";6;1;3;6;NA;2;3;6;9;2;NA;7;NA;NA;1;NA;NA;NA;0;NA;NA;3;2;NA;3;0;0;4;0;0;3;0;3;4;3;9;4;3;1;1;1;3;3;3;2;2;3;3;3;3;2;2;1;1;3;11;3;NA;4;2;2;4;4;3;3;3;3;3;3;2;3;2
1748;1484;566;2;56;"A";1;217;56;5;NA;NA;8;"JUBILADA                                        ";"DOCENTE                                         ";1;1;3;5;NA;4;4;9;9;1;NA;NA;NA;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;4;NA;NA;NA;NA;4;4;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2266;1887;729;1;55;"A";2;340;76;6;32;NA;6;"JUBILADO                                        ";"EMPLEADO                                        ";26;1;3;6;NA;3;4;6;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;0;NA;4;NA;4;5;4;0;NA;4;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
351;329;904;2;55;"B";5;50237;76;6;9;NA;4;"JUBILADA                                        ";"DOCENTE                                         ";21;0;NA;4;NA;2;9;0;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1646;1409;582;2;56;"A";2;155;69;2;NA;71;6;"JUBILADA                                        ";"PROFESORA                                       ";15;1;2;5;0;3;3;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;0;0;0;0;4;0;4;4;4;3;3;4;2;2;2;3;3;4;4;3;3;3;4;3;2;4;3;1;4;4;4;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4
2415;2005;685;2;62;"A";1;203;67;2;NA;64;4;"JUBILADA                                        ";"TECN RADIOLOGO                                  ";5;1;0;6;NA;3;2;9;3;2;2;7;0;0;0;7;0;0;0;0;0;4;3;2;4;0;0;0;0;0;0;0;1;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;1;4;4;1;4;1;4;11;4;3;3;3;4;4;4;3;3;2;3;4;4;4;4;4
1280;1117;266;2;50;"B";5;50214;55;2;NA;56;2;"TRAMITADORA                                     ";"BANCARIA                                        ";4;0;NA;5;NA;4;4;9;9;2;2;7;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;3;2;NA;5;NA;NA;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2571;2127;303;2;65;"A";1;114;75;5;NA;65;6;"JUBILADA                                        ";"PROF SECUNDARIO                                 ";10;1;3;5;2;2;2;9;6;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;4;2;2;NA;0;0;NA;5;5;4;4;4;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;9;2;8;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;NA
751;679;239;1;66;"B";5;50136;72;3;NA;38;4;"JUBILADO                                        ";"TEATRO                                          ";6;0;NA;3;NA;3;2;9;9;2;NA;NA;NA;0;NA;NA;NA;NA;1;NA;NA;2;7;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1076;952;279;2;68;"D";10;317;78;5;NA;NA;4;"AMA DE CASA                                     ";"MODISTA                                         ";10;0;NA;2;2;2;2;6;6;1;NA;NA;NA;NA;5;NA;NA;1;NA;NA;NA;1;2;2;NA;3;NA;4;NA;3;3;NA;NA;3;3;3;4;4;1;1;1;4;4;4;3;1;4;4;4;3;3;2;3;1;3;NA;4;3;3;3;3;3;4;4;4;1;3;3;3;4;4;4
1068;946;523;2;62;"B";5;50415;69;1;NA;NA;4;"AMA DE CASA                                     ";"ACOMPAÃ‘AR ANCIAN                            ";7;9;9;4;2;2;2;6;9;1;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
654;590;298;2;6;"B";4;760;652;2;8;6;6;"JUBILADA                                        ";"DOCENTE                                         ";5;1;2;6;NA;3;7;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;4;3;5;3;NA;4;4;3;4;4;4;4;2;2;4;4;4;4;4;4;4;2;3;3;2;1;4;4;NA;4;3;3;4;3;4;4;4;4;2;3;4;4;4;4;4
2148;1797;99;2;50;"A";1;304;67;6;2;NA;4;"JUBILADA                                        ";"PSICOLOGA                                       ";10;1;2;6;NA;3;2;6;3;1;NA;NA;0;2;NA;3;2;NA;1;NA;NA;NA;7;NA;0;3;4;0;4;0;3;0;3;4;3;3;3;4;2;1;1;3;1;3;3;9;3;3;1;1;3;9;9;9;4;NA;3;3;2;2;2;3;3;3;2;9;3;3;3;3;3;4
920;825;996;2;60;"A";2;996;81;2;NA;87;4;"                                                ";"COMERCIANTE                                     ";22;0;2;1;2;3;2;6;6;2;2;7;NA;2;NA;NA;1;NA;NA;NA;NA;2;50;NA;5;5;5;NA;5;NA;5;NA;5;5;5;4;4;4;4;4;4;4;2;4;3;2;4;4;2;4;4;NA;3;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2392;1987;884;2;54;"A";2;52;60;4;NA;NA;2;"JUBILADA                                        ";"MEDICA                                          ";7;1;3;6;0;2;2;6;6;3;4;NA;NA;7;7;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;5;3;2;NA;NA;NA;3;4;5;5;4;4;4;4;2;3;3;9;4;2;2;3;4;4;3;2;2;3;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1856;1572;359;1;65;"B";5;50012;66;2;NA;NA;6;"                                                ";"PELUQUERO                                       ";1;1;4;1;NA;4;4;6;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;NA;3;NA;5;3;NA;NA;4;5;3;NA;NA;NA;NA;NA;NA;NA;4;4;NA;4;4;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1230;1079;939;2;60;"A";2;654;68;2;NA;70;4;"AMA DE CASA                                     ";"EMPLEADA                                        ";8;1;2;3;0;2;2;6;3;2;NA;7;0;7;7;7;2;NA;NA;NA;NA;3;2;NA;4;4;4;4;4;0;3;0;4;4;3;NA;NA;4;2;1;1;1;3;4;4;1;4;4;1;1;3;1;3;1;3;NA;3;3;3;3;NA;3;3;3;3;2;2;NA;3;3;3;3
227;219;426;2;66;"D";10;196;67;5;NA;NA;NA;"JUBILADA                                        ";"ABOGADA                                         ";1;1;3;6;2;2;1;6;6;1;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;7;NA;NA;0;5;0;5;0;5;5;0;NA;4;NA;NA;2;3;2;1;1;3;1;3;3;3;3;3;3;2;3;1;3;1;3;2;3;NA;2;2;3;4;3;NA;2;2;2;3;3;3;3;3
1876;1587;685;2;60;"A";1;824;70;1;NA;NA;4;"AMA DE CASA                                     ";"EMP DE COM                                      ";10;1;2;3;2;2;2;9;6;6;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;5;NA;4;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
