ESCUELAS MUNICIPALES;;;;;TIPO DE ACCESO;;;
25;LUZ VIEYRA MENDEZ;AV KINGSLEY 1201 (tel 3514333337);-31.42459, -64.24673;;Arnet Escuelas;;;
26;JUAN A. PAREDES;FRANCISCO DEL PRADO 3900 (tel 3514335114);-31.3629, -64.15048;;Arnet Escuelas;;;
27;DR. RAUL FERNANDEZ;CALLE 12 S/N (tel 3543439690);-31.31376, -64.28443;;Arnet Escuelas;;;
28;DR. HORACIO GARCIA;TABACUE 9150 – B° ARGÜELLO;-31.31651, -64.26701;;Arnet Escuelas;;;
29;DR. JORGE ORGAZ;LAGUNA LARGA 8900 – B° ARGÜELLO;-31.31971, -64.29337;;Arnet Escuelas;;;
30;DR. EMILIO BAQUERO LAZCANO;HUMBERTO 1° 4600 (tel 3514337315);-31.39197, -64.2402;;Arnet Escuelas;;;
31;JUAN B. JUSTO;IGUALDAD 4100 (tel 3514337335);-31.39284, -64.23118;;Arnet Escuelas;;;
32;SAUL TABORDA;NAZCA – B° ARGÜELLO (tel 3543449424);-31.32882, -64.27348;;Arnet Escuelas;;;
33;REPUBLICA DE ITALIA;REALICO 1580 (tel 3514333338);-31.46729, -64.23334;;Arnet Escuelas;;;
34;JORGE L. BORGES;HEROINAS DE AYOHUMA S/N (tel 3514335116);-31.37365, -64.13205;;Arnet Escuelas;;;
35;MAESTRO MANUEL OLIVA;GABRIEL TOMASSINI 6951 – B° ARGÜELLO (tel 3543449425);-31.31899, -64.25833;;Arnet Escuelas;;;
36;DRA. ALICIA MOREAU;PILCOMAYO Y RECONQUISTA (tel 3514333325);-31.47046, -64.21621;;Arnet Escuelas;;;
37;DR. ALFREDO ORGAZ;JULIAN LAGUNA 2600 (tel 3514335425);-31.37235, -64.13427;;Arnet Escuelas;;;
38;DOMINGO F. SARMIENTO; ABARCA Y VELAZCO 5267, B° JOSÉ I. DÍAZ V SECCIÓN (tel 3514338627);-31.45746, -64.1287;;;;;
JARDINES MATERNALES;;;;;;;;
Nº;NOMBRE;DIRECCION ;COORDENADAS;;;;;
1;ARCO IRIS;Icho Cruz 453. B Va. El Libertador;-31.48127, -64.21121;;;;;
2;ARROZ CON LECHE;Colorado y Macachin. B Cabildo;-31.48904, -64.23461;;;;;
3;AYUDA MUTUA;Marcelo T de Alvear 1234. B Guemes;-31.42819, -64.19616;;;;;
4;CLEMENTE;Bielsa s/n. B Ejército Argentino;-31.44601, -64.19714;;SIN INTERNET;;;
5;GARCÍA ELORRIO;Félix de Zúniga 4464. B San Roque;-31.42837, -64.24511;;SIN INTERNET;;;
6;LARGUIRUCHO;Manuel Astrada 1334. B Suárez;-31.44217, -64.2115;;SIN INTERNET;;;
7;LUIS LEZAMA;Petirossi 3437. B Estación Flores;-31.4442, -64.24793;;SIN INTERNET;;;
8;MAFALDA;Manuel Solá 4697. B Las Violetas;-31.41027, -64.24756;;SIN INTERNET;;;
9;RAYITO DE SOL;Gaona 1365. B Los Plátanos;-31.4228, -64.23283;;SIN INTERNET;;;
10;TRAPITO;Vina del Mar 5014. B Mirizzi;-31.47171, -64.20706;;SIN INTERNET;;;
11;CUSI HUAHUITAS;Jerónimo de Helgueros 5440, B Coronel Olmedo;-31.47826, -64.14251;;SIN INTERNET;;;
12;JEROMITO;Fotheringhan 605. B Observatorio;-31.42174, -64.19516;;SIN INTERNET;;;
13;JULIA SAURY;Los Quebrachos 147. B Los Sauces;-31.46219, -64.09925;;SIN INTERNET;;;
14;MIGUEL OLIVER;Compton 5740. B Los Eucaliptos;-31.46801, -64.08459;;SIN INTERNET;;;
15;PADRE MARTÍNEZ;Av. Vucetich esq. Lumine. B Ituzaingó;-31.46517, -64.0894;;SIN INTERNET;;;
16;PALACIOS HIDALGO;Echauri 5000. B Nicolás Avellaneda;-31.4619, -64.10417;;SIN INTERNET;;;
17;PORTAL DE BELÉN;Martín Cartechini 425. B Maldonado;-31.41493, -64.13173;;SIN INTERNET;;;
18;TERNURITAS;Chirino de Posadas 4627. B José Ignacio Díaz III;-31.44788, -64.14004;;SIN INTERNET;;;
19;TRINIDAD MORENO;Gorriti 2153. B Urquiza;-31.43399, -64.14573;;SIN INTERNET;;;
20;CAPULLITOS;Tabaucué esq Cauque. B Va. Cornú;-31.31648, -64.2669;;SIN INTERNET;;;
21;COLORIN COLORADO;Coquena esq Huarpes. B Va 9 de Julio;-31.32866, -64.27089;;SIN INTERNET;;;
22;EL BARRILETE;Matra esq Malalco. B UOCRA;-31.32344, -64.26452;;SIN INTERNET;;;
23;FRUTILLITAS;Buffa esq Ob Mercadillo. B Sta Cecilia;-31.35783, -64.22731;;SIN INTERNET;;;
24;GARABATOS;Martin Fermin esq Alberto Fage;-31.33344, -64.24641;;SIN INTERNET;;;
25;HORMIGUITA VIAJERA;Juan de Morales esq Igualdad. B Va. Alberdi;-31.39182, -64.23498;;SIN INTERNET;;;
26;LOS 7 CABRITOS;Montevideo 740. B Observatorio;-31.41909, -64.19626;;SIN INTERNET;;;
27;PETETE;Lartigau Lespada 2980. B Poeta Lugones;-31.36187, -64.21559;;SIN INTERNET;;;
28;TRAVESURAS;Muluches s/n. B Va. Allende Parque;-31.31359, -64.28358;;SIN INTERNET;;;
29;BICHITO DE LUZ;María R. Valle 264. B Remedios de Escalada;-31.33755, -64.18104;;SIN INTERNET;;;
30;CAFFERATA;Pringlés 1440. B Pueyrredón;-31.40105, -64.17178;;SIN INTERNET;;;
31;CAPERUCITA ROJA;Saravia 1455. B Gral Bustos;-31.38676, -64.16693;;SIN INTERNET;;;
32;CASITA DEL HORNERO;Rancagua 2865. B Va. Corina;-31.37712, -64.1477;;SIN INTERNET;;;
33;EL PRINCIPITO;Marcos Infante 550. B Ampliación Panamericano;-31.36742, -64.182;;SIN INTERNET;;;
34;HIJITUS;Patagonia 3360. B La Fraternidad;-31.37678, -64.18468;;SIN INTERNET;;;
35;IGNACIO GARZÓN;Entre Ríos 665. B Centro;-31.42082, -64.17603;;SIN INTERNET;;;
36;RUIDITOS;Julián Laguna 2660. B San Jorge;-31.37239, -64.13384;;SIN INTERNET;;;
37;SUEÑO DE COLORES;Pje Fray Bracco esq Garay. B Puyrredón;-31.40057, -64.15474;;SIN INTERNET;;;
;;;;;SIN INTERNET;;;
;;;;;SIN INTERNET;;;
;;;;;SIN INTERNET;;;
